graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,leista-t,leinai-t,leidel-t,leifro-t,lousta-m,lounai-m,loudel-m,loufro-m,leista-m,leinai-m,leidel-m,leifro-m
it-2004,0.00000002,0.00000008,0.0000001,3090.428714,481.3710873,192.0195908,13.13924198,4729.528306,2887.866985,2407.721126,1355.641425,0.9763565042,0.9763986162,0.97636226,0.9763320236,0.976391538,0.9762496062,0.9760238152,0.9762810588
it-2004,0.0000002,0.0000008,0.000001,2941.577796,418.6667303,309.1841999,18.02385848,4281.172442,2810.641501,2648.69399,1506.792224,0.9763453278,0.9763979128,0.9763901042,0.9763313332,0.976401204,0.9762668228,0.9762091534,0.9757951728
it-2004,0.000002,0.000008,0.00001,2800.523184,461.0684617,415.0967172,53.71204031,4337.718783,2730.635266,2793.857494,2316.552199,0.9763584526,0.9763908934,0.9763904924,0.9763248472,0.9763648868,0.9763527288,0.9763380256,0.976071873
it-2004,0.00002,0.00008,0.0001,2925.971432,394.432278,453.3752205,109.9667914,4240.406588,2858.457532,2902.990799,2598.576149,0.9762835042,0.9763207426,0.9763207358,0.9762565188,0.9762992868,0.9763864494,0.9763851768,0.9763349408
it-2004,0.0002,0.0008,0.001,3132.309285,538.7890321,672.2910832,287.9584864,4491.273314,2801.715112,2941.948131,2805.841607,0.9755855452,0.9756201272,0.9756201226,0.9755678084,0.975581761,0.9756916902,0.9756867582,0.9756531416
it-2004,0.002,0.008,0.01,3928.075836,896.8824889,1473.967156,759.6147042,5962.869498,4356.468447,5093.706837,4181.072998,0.968557126,0.968720613,0.9687206136,0.9686932926,0.96865218,0.9687963164,0.9687871264,0.9687711482
it-2004,0.02,0.08,0.1,12000.05276,5630.179023,8040.761699,4742.83538,17486.92117,15614.54491,17658.29745,16380.76339,0.906644689,0.9047778584,0.904777847,0.9047775388,0.906636157,0.9060096894,0.905689697,0.906107842
