graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,leista-t,leinai-t,leidel-t,leifro-t,lousta-m,lounai-m,loudel-m,loufro-m,leista-m,leinai-m,leidel-m,leifro-m
kmer_V1r,0.00000002,0.00000008,0.0000001,22653.10234,671.9418039,430.0464157,41.74513685,25322.8807,23407.10755,25915.04152,8245.313608,0.9472022008,0.948482341,0.9480003836,0.947579874,0.9474112174,0.9473562796,0.9476858312,0.9485147872
kmer_V1r,0.0000002,0.0000008,0.000001,23763.50761,492.2137228,525.4848482,45.71503301,26542.4821,22795.7906,22836.49985,13817.77489,0.9468806742,0.9484816794,0.9483861752,0.9475792,0.9474843204,0.9474209946,0.9473698262,0.948790904
kmer_V1r,0.000002,0.000008,0.00001,24354.51186,481.1654772,647.6056966,41.82438509,26372.33765,23275.05682,22787.5404,30527.18756,0.9466962074,0.9484749474,0.9484583978,0.9475724944,0.9473675354,0.9473596454,0.9474285174,0.9489169208
kmer_V1r,0.00002,0.00008,0.0001,23986.69304,497.7614164,683.7668832,42.41178232,24081.50603,23417.57832,21561.77715,29957.94632,0.94692231,0.9484076736,0.9484067886,0.947505454,0.9473683066,0.947312787,0.9472412426,0.948552103
kmer_V1r,0.0002,0.0008,0.001,24259.29052,522.5570221,845.2847232,116.1828253,26460.02236,23765.00586,24172.15543,25604.7756,0.9457101362,0.9477358234,0.9477358058,0.9468353902,0.9466477978,0.9465586564,0.9466928254,0.9466044962
kmer_V1r,0.002,0.008,0.01,24791.4314,793.134393,1158.944094,483.2588515,27013.41429,24874.83311,24546.77695,25573.87269,0.9390717074,0.941057676,0.9410576898,0.940176732,0.9394563788,0.9397947664,0.9398646572,0.9396993606
kmer_V1r,0.02,0.08,0.1,33033.21524,2200.804984,4064.711557,2048.712052,35181.23375,33625.93998,33653.23879,32983.82849,0.8779832964,0.8781935832,0.878193599,0.877481439,0.8793507012,0.880325767,0.8803848962,0.8803594786
