graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,leista-t,leinai-t,leidel-t,leifro-t,lousta-m,lounai-m,loudel-m,loufro-m,leista-m,leinai-m,leidel-m,leifro-m
europe_osm,0.00000002,0.00000008,0.0000001,3461.368592,139.7104146,26.59265914,15.01421971,4101.274513,3313.232601,1241.821593,351.1299823,0.9989321182,0.9989371044,0.9989329658,0.998932937,0.9987488656,0.998748097,0.9984587336,0.998736781
europe_osm,0.0000002,0.0000008,0.000001,2613.251152,149.610343,40.97737214,15.88895487,3249.808502,3213.319838,1012.742498,421.6156593,0.9989315322,0.9989363838,0.9989323768,0.998932216,0.9987467098,0.9987451152,0.9989132842,0.9985220594
europe_osm,0.000002,0.000008,0.00001,3159.017221,149.1670485,82.06851233,17.13480837,3909.929786,3265.262864,1443.973327,695.3730934,0.9989180564,0.9989291992,0.9989267322,0.9989250312,0.9987338522,0.9987351838,0.9988435116,0.998902535
europe_osm,0.00002,0.00008,0.0001,2754.939011,141.2631686,177.247065,29.37530851,3399.769354,3190.887231,3038.582358,1155.754779,0.9988068952,0.998857428,0.9988573416,0.9988531476,0.9986268952,0.9986303186,0.998647232,0.9987611562
europe_osm,0.0002,0.0008,0.001,3324.887438,166.1099405,204.775599,32.18593212,3913.169424,3614.877806,3273.700419,3328.839772,0.9977304096,0.9981394302,0.9981394368,0.9981345858,0.9975745874,0.9976115602,0.9976155702,0.9976945628
europe_osm,0.002,0.008,0.01,3289.134085,176.1215327,214.7383526,116.1885819,3471.67694,3434.709285,3806.743776,3551.49969,0.9888029044,0.9910074208,0.9910073906,0.9909959528,0.9886698462,0.9889100256,0.98890878,0.9889104472
europe_osm,0.02,0.08,0.1,5681.132863,913.4008972,776.6458564,733.313155,6267.993162,6064.891804,6060.728776,6113.605596,0.9228420922,0.9241415734,0.9241416088,0.9241062496,0.9225148238,0.9234957672,0.9234878206,0.923493308
