graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,leista-t,leinai-t,leidel-t,leifro-t,lousta-m,lounai-m,loudel-m,loufro-m,leista-m,leinai-m,leidel-m,leifro-m
webbase-2001,0.00000002,0.00000008,0.0000001,6089.995954,613.3587761,203.3641522,27.19820006,8832.848669,5667.452538,5331.272003,2925.93085,0.9818328082,0.9823048042,0.9819773672,0.981788214,0.9821434156,0.982330105,0.982038428,0.9814858964
webbase-2001,0.0000002,0.0000008,0.000001,5104.606887,474.0098115,280.203972,27.95708475,7905.434559,6285.064146,6000.105778,4155.427228,0.9817551568,0.982304134,0.9821640482,0.9817875938,0.9821213714,0.9823732502,0.982236058,0.9812812988
webbase-2001,0.000002,0.000008,0.00001,5586.269085,443.4480052,373.3244535,33.52907499,8751.543837,6337.976818,6267.916802,5296.322474,0.981830552,0.982297391,0.982281348,0.9817882848,0.9821231904,0.9823686784,0.9823048544,0.981700424
webbase-2001,0.00002,0.00008,0.0001,5533.724304,601.2756492,438.9488595,53.0509093,8480.901635,6244.513549,5957.206563,5399.051016,0.9818499268,0.9822293362,0.9822287946,0.9817435364,0.9819703104,0.9823201014,0.9823340196,0.9819517852
webbase-2001,0.0002,0.0008,0.001,5783.5051,568.265287,600.8319895,212.1235007,8937.149032,6543.310196,6625.872346,5701.786113,0.981188649,0.9815499252,0.981549844,0.9811142892,0.9813673162,0.9816968948,0.9816494548,0.9814849974
webbase-2001,0.002,0.008,0.01,8486.679134,1041.335494,1595.604732,912.059547,11842.07654,9394.93663,9331.242898,8476.103643,0.9741876046,0.9748191268,0.9748191484,0.9745054514,0.9746606632,0.975120489,0.9751271528,0.9749608316
webbase-2001,0.02,0.08,0.1,24670.51467,5289.203829,7950.037043,4647.436407,40890.0157,33153.1436,36943.51525,35542.65956,0.9120040708,0.912405598,0.9124056036,0.9123416446,0.9120682632,0.913655233,0.9136625024,0.9136320192
