graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,leista-t,leinai-t,leidel-t,leifro-t,lousta-m,lounai-m,loudel-m,loufro-m,leista-m,leinai-m,leidel-m,leifro-m
indochina-2004,0.00000002,0.00000008,0.0000001,747.5474973,115.3824865,12.27283032,0.7764682691,1093.952784,665.9697616,458.760904,319.6039723,0.9641538498,0.9643003612,0.9642300826,0.964194064,0.964201167,0.9641099196,0.963832807,0.963850897
indochina-2004,0.0000002,0.0000008,0.000001,699.4349291,103.3840027,34.95247642,0.888257214,983.578745,636.8949055,533.8306056,362.3274638,0.9641394802,0.964299624,0.9642708904,0.9641933884,0.9641598894,0.9641139696,0.9639299964,0.9636741738
indochina-2004,0.000002,0.000008,0.00001,654.9449645,95.32622353,96.87865689,2.090371539,953.2027022,617.300314,616.7266819,439.0074401,0.9641171748,0.9642927572,0.9642913322,0.964186569,0.9641764718,0.9640781522,0.9641054508,0.9637755724
indochina-2004,0.00002,0.00008,0.0001,643.2181696,94.73010978,100.3093842,12.38738101,921.047348,647.7720311,654.1738607,571.078,0.9640783732,0.9642247132,0.9642244836,0.9641305774,0.9640338118,0.9641551544,0.9640860736,0.9640140738
indochina-2004,0.0002,0.0008,0.001,664.2137836,118.4726249,139.4160217,42.85423255,975.9111909,696.6011938,760.0061806,637.7406643,0.9633727178,0.9635443626,0.9635444084,0.9634910716,0.9634047142,0.963418271,0.9634591822,0.963468969
indochina-2004,0.002,0.008,0.01,867.6019173,187.9941048,283.5194349,140.6166884,1239.781692,961.8455512,1036.704037,893.3431303,0.9565362302,0.9568601574,0.9568600522,0.9568452292,0.9567473384,0.9568810146,0.9568341476,0.9568226518
indochina-2004,0.02,0.08,0.1,1905.646519,746.3139997,1095.009345,638.0439109,2987.283955,2403.699854,2870.062565,2558.151615,0.8980504942,0.8954224626,0.8954221778,0.8954219842,0.8980703,0.8976110706,0.8976822458,0.8976199006
