graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,leista-t,leinai-t,leidel-t,leifro-t,lousta-m,lounai-m,loudel-m,loufro-m,leista-m,leinai-m,leidel-m,leifro-m
sk-2005,0.00000002,0.00000008,0.0000001,7296.709162,867.7285425,602.3990123,21.22217619,10145.90081,5244.88422,4919.119082,3591.744655,0.9741425582,0.97431776,0.9742964224,0.974105191,0.9722821744,0.975516761,0.9749743122,0.9742820298
sk-2005,0.0000002,0.0000008,0.000001,6638.941434,678.7604851,653.2322409,38.22595372,9394.072175,4867.177335,4707.211188,3883.791983,0.9736654792,0.9743170314,0.9743164494,0.974106841,0.9745832708,0.9759666728,0.9760162158,0.9741442634
sk-2005,0.000002,0.000008,0.00001,6389.043273,605.4143617,629.9778688,104.328489,9105.263185,4950.22017,4913.025208,4539.679326,0.9741807434,0.9743101158,0.9743100698,0.9741178288,0.9745777324,0.9759734274,0.9760491034,0.9755173844
sk-2005,0.00002,0.00008,0.0001,6415.264163,620.1166985,730.8508505,235.2692029,9400.757076,4932.615768,5081.97316,4752.27918,0.974001032,0.9742402486,0.9742402206,0.9741030478,0.9749730872,0.9760093936,0.9759140226,0.9756283048
sk-2005,0.0002,0.0008,0.001,7049.404706,878.956029,1428.273093,579.7898165,10164.2329,5520.812771,5791.664031,5393.290252,0.9730933774,0.9735427968,0.9735427856,0.9734669058,0.974583768,0.9753292828,0.9753865478,0.9750925968
sk-2005,0.002,0.008,0.01,10059.33006,1808.432638,3129.011148,1573.487084,13776.94268,7802.520362,9173.604036,8054.435418,0.96492088,0.9666667044,0.9666666934,0.9666422978,0.9663237154,0.967083357,0.9674133066,0.967658922
sk-2005,0.02,0.08,0.1,25696.16624,8169.568737,12486.72248,9821.468831,41081.62066,29176.05498,33424.46365,27515.8397,0.8995891344,0.9025814486,0.9025814692,0.902581428,0.9030148362,0.904292875,0.9032399286,0.9042248858
