graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,leista-t,leinai-t,leidel-t,leifro-t,lousta-m,lounai-m,loudel-m,loufro-m,leista-m,leinai-m,leidel-m,leifro-m
com-Orkut,0.00000002,0.00000008,0.0000001,2476.554238,79.1652587,62.61115323,0.332269903,2137.873411,1374.470603,1300.625029,924.8938272,0.6552487166,0.6610850216,0.6604277588,0.6579332154,0.6634146532,0.6670937556,0.6703330002,0.6675480074
com-Orkut,0.0000002,0.0000008,0.000001,2480.924314,59.01143362,56.88532766,0.3898059841,1835.163793,1358.345493,1314.490517,1148.116001,0.653226167,0.6610881552,0.6610456784,0.6579333178,0.662691291,0.6665025028,0.6674984604,0.6687574496
com-Orkut,0.000002,0.000008,0.00001,2426.332836,43.22960071,47.21228541,2.59471897,1811.072088,1276.769349,1309.794746,1166.168392,0.6542253334,0.661087669,0.6610869766,0.6579598114,0.6641746742,0.666547471,0.6671842068,0.6682023662
com-Orkut,0.00002,0.00008,0.0001,2344.856601,46.81774004,53.42069529,12.42921738,1982.622993,1309.983876,1292.006282,1178.651106,0.648029353,0.6610401206,0.661039401,0.6584713832,0.6591505866,0.666836412,0.6669061448,0.667757865
com-Orkut,0.0002,0.0008,0.001,2172.810743,55.28284523,82.97781157,27.43253436,1829.379738,1289.088944,1298.816141,1144.220764,0.6537651686,0.660588124,0.6605876788,0.6589960082,0.6610532688,0.6658401924,0.6660073436,0.6672005384
com-Orkut,0.002,0.008,0.01,2195.151861,102.0414398,217.3213289,104.5611624,1876.415517,1389.304344,1527.527855,1365.782379,0.6497629252,0.6560794568,0.6560805882,0.6555365272,0.6553446616,0.6613629762,0.6613062002,0.6613463018
com-Orkut,0.02,0.08,0.1,3332.940523,439.7601654,1035.865077,596.9022479,2056.336836,1966.40485,2913.778388,1810.973927,0.602861866,0.613744262,0.6137485706,0.6137484664,0.6102684392,0.6175432154,0.6179665066,0.6174329214
