graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,leista-t,leinai-t,leidel-t,leifro-t,lousta-m,lounai-m,loudel-m,loufro-m,leista-m,leinai-m,leidel-m,leifro-m
com-LiveJournal,0.00000002,0.00000008,0.0000001,964.533678,55.08279142,13.45605181,0.7096668208,1064.388226,733.4743591,744.7994535,545.6460292,0.72489085,0.7218591516,0.7188144598,0.7172339418,0.7314056548,0.7392255552,0.7361661188,0.7336425314
com-LiveJournal,0.0000002,0.0000008,0.000001,978.7103189,40.394822,49.1302673,0.4373448296,1135.476147,740.6703129,692.6126493,598.5544194,0.7232574528,0.7218618194,0.7215326788,0.717233548,0.7310045564,0.7390566764,0.7385412426,0.7366181296
com-LiveJournal,0.000002,0.000008,0.00001,918.3358918,38.00006502,39.82820686,0.5785155024,992.8329429,720.362577,674.2257029,644.2542403,0.7194165362,0.7218581348,0.7218190154,0.7172290418,0.7310340892,0.7390000382,0.7389775258,0.7355214868
com-LiveJournal,0.00002,0.00008,0.0001,995.8293415,35.01321483,49.11866585,2.815640613,1003.585763,679.7640174,698.3390389,636.8708975,0.7180401426,0.721811205,0.7218083426,0.717203152,0.7301697672,0.739199526,0.7392753002,0.7363333834
com-LiveJournal,0.0002,0.0008,0.001,881.1191011,41.62654715,44.6052376,16.42523784,960.372972,699.3605224,677.5647977,654.8306956,0.721026627,0.7213257574,0.7213241878,0.7169972454,0.7302708782,0.738965471,0.7385204032,0.7353526568
com-LiveJournal,0.002,0.008,0.01,977.3036269,66.53903716,81.80189746,39.56676804,1001.2909,668.7991592,708.4486517,690.8849851,0.7148386624,0.71655759,0.7165568132,0.7136798118,0.72307328,0.733480605,0.733266177,0.7314518838
com-LiveJournal,0.02,0.08,0.1,1282.131391,1498.992094,1641.578403,1476.430327,1263.664737,1053.958527,1234.490323,940.4380915,0.6669307964,0.676105033,0.6761068924,0.6758196854,0.6809678898,0.689660191,0.6893489454,0.6881990464
