graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,leista-t,leinai-t,leidel-t,leifro-t,lousta-m,lounai-m,loudel-m,loufro-m,leista-m,leinai-m,leidel-m,leifro-m
kmer_A2a,0.00000002,0.00000008,0.0000001,19453.57152,598.5720204,262.3970739,39.02713879,22325.30526,18893.90051,16964.6222,4762.690155,0.9732161566,0.97351229,0.973232399,0.9730773232,0.9738189466,0.9738638186,0.9740927712,0.9738324314
kmer_A2a,0.0000002,0.0000008,0.000001,17096.05326,694.2726395,487.7143672,33.69876457,19925.56172,18985.73908,20178.82087,7525.500319,0.9730989528,0.9735115432,0.9734776774,0.9730766276,0.9738156156,0.9738468946,0.9739254086,0.9738892458
kmer_A2a,0.000002,0.000008,0.00001,16558.69225,672.0040585,1702.709608,58.50508949,19535.39844,17193.35385,18056.99901,10654.47455,0.9732071572,0.9735045904,0.97349463,0.9730696808,0.9738209778,0.9738879856,0.973882709,0.9740974828
kmer_A2a,0.00002,0.00008,0.0001,16346.97097,587.0393017,1060.955495,33.25008136,20137.40095,18429.66779,17276.37303,12790.93381,0.9727309644,0.9734351204,0.973434524,0.973000291,0.97377146,0.9738135644,0.973831422,0.9740362756
kmer_A2a,0.0002,0.0008,0.001,16646.51295,627.3010184,885.3787349,282.0272424,21046.90883,18479.32356,19001.39117,17233.41697,0.9715829856,0.972740138,0.9727401358,0.9723063046,0.9730177544,0.973117439,0.9730773718,0.973156854
kmer_A2a,0.002,0.008,0.01,19187.99798,1310.251522,1289.141529,485.4649012,21966.51508,19352.29757,18984.53665,18285.02464,0.965584597,0.9658327834,0.965832767,0.9654075666,0.9661296516,0.9662877716,0.9662639188,0.9662730534
kmer_A2a,0.02,0.08,0.1,26875.2368,2031.666181,3211.760562,1703.333184,30112.71508,26883.70943,27280.72271,25686.96076,0.9049812448,0.900800171,0.9008001504,0.9004554286,0.9061059768,0.9067874004,0.9068037156,0.9067651184
