graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,leista-t,leinai-t,leidel-t,leifro-t,lousta-m,lounai-m,loudel-m,loufro-m,leista-m,leinai-m,leidel-m,leifro-m
arabic-2005,0.00000002,0.00000008,0.0000001,1854.748569,277.7961914,86.23741115,6.486291613,2897.728611,1667.938673,1236.468961,748.1079749,0.989134278,0.989499992,0.9894459542,0.9893752404,0.9894435242,0.9897333868,0.989526199,0.9893258662
arabic-2005,0.0000002,0.0000008,0.000001,1755.201513,259.695885,184.1418745,8.781812656,2688.228322,1584.441476,1434.772408,856.4899462,0.9892034116,0.9894992988,0.989491232,0.9893745316,0.9895314106,0.9897100102,0.9896497572,0.9891244142
arabic-2005,0.000002,0.000008,0.00001,1799.015362,264.1853463,266.2335766,18.99493589,2687.271221,1592.817498,1579.61445,1203.107463,0.9892727036,0.9894921702,0.9894918604,0.9893715506,0.9894878776,0.989747059,0.9897345358,0.9893503456
arabic-2005,0.00002,0.00008,0.0001,1782.297116,273.7950854,378.1171789,51.52086832,2517.877427,1508.735133,1476.710306,1344.862716,0.9891009022,0.9894211286,0.989421121,0.9893139204,0.9894404112,0.989659508,0.989692685,0.9894903708
arabic-2005,0.0002,0.0008,0.001,1946.483264,374.6646366,474.3003101,152.0344259,2740.330321,1589.782237,1680.33798,1443.76858,0.9884261092,0.988711913,0.9887119078,0.9886419386,0.9887530204,0.9889815324,0.9889691324,0.988896645
arabic-2005,0.002,0.008,0.01,1997.807319,562.4694832,832.8998024,505.5669616,2916.313145,2137.559532,2461.497047,2122.874964,0.9813707686,0.981722344,0.9817223436,0.9816859572,0.9817091942,0.9820045736,0.9819835786,0.9819507032
arabic-2005,0.02,0.08,0.1,3918.538674,2592.37572,4724.304286,2822.378503,8817.253902,7438.310862,8747.968896,7335.626924,0.9168987068,0.9168966744,0.916896679,0.9168964032,0.916897793,0.9173707852,0.9173646118,0.9173720002
