graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,nai-t,del-t,fro-t,sta-m,nai-m,del-m,fro-m,sta-s,nai-s,del-s,fro-s
asia_osm,0.00000002,0.00000008,0.0000001,733.2598222,655.7279563,644.27569,594.2740822,0.9987306096,0.9987297504,0.9987269328,0.998728126,1,1.118237853,1.138114993,1.233874813
asia_osm,0.0000002,0.0000008,0.000001,743.3086987,672.4307868,650.4934955,603.7779977,0.9987326096,0.9987292024,0.9987270346,0.9987291952,1,1.105405513,1.142684291,1.231096035
asia_osm,0.000002,0.000008,0.00001,795.4598135,685.9589654,648.185413,665.8126094,0.9987223302,0.998721854,0.9987178316,0.9987194768,1,1.159631776,1.227210297,1.19472026
asia_osm,0.00002,0.00008,0.0001,803.27091,680.4941652,694.2986097,652.5124743,0.998635672,0.998633752,0.9986364564,0.9986365196,1,1.180422921,1.156953073,1.231042994
asia_osm,0.0002,0.0008,0.001,814.4443757,732.0858527,717.5642377,672.2608287,0.9977669634,0.997793962,0.9977909652,0.997793328,1,1.112498449,1.135012495,1.211500568
asia_osm,0.002,0.008,0.01,821.5131347,743.0819823,749.4384387,714.3988315,0.9900334268,0.9902182358,0.990222061,0.9902187038,1,1.105548451,1.096171603,1.14993628
asia_osm,0.02,0.08,0.1,1294.845165,1220.048371,1252.810083,1134.393698,0.9269295272,0.9278958414,0.9278760442,0.9279087082,1,1.061306417,1.033552638,1.141442488
